"q44","Have you experienced any side effects from using cannabis? (Please select all that apply)","n =  299"
"response","count","percent_responded"
"Dry mouth","188","62.88"
"Increased energy","99","33.11"
"Changes in appetite","98","32.78"
"More or less talkative","94","31.44"
"Sleepiness/fatigue","68","22.74"
"Changes in libido","35","11.71"
"Feeling of being ""altered""","34","11.37"
"Other (please specify)","33","11.04"
"Memory problems","30","10.03"
"Difficulty concentrating","24","8.03"
"Paranoia","19","6.35"
"Tough to get started in the morning (lassitude) or ""couch lock""","15","5.02"
"Heart racing/palpitations","14","4.68"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","14","4.68"
"Dizziness","13","4.35"
"Racing thoughts","12","4.01"
"Anxiety","10","3.34"
"Sweating","7","2.34"
"GI changes (constipation, diarrhea, abdominal discomfort)","6","2.01"
"Nausea","6","2.01"
"Apathy","5","1.67"
"Headache","3","1"
"Depression","2","0.67"
