"response","count","percent_responded"
"N/A","35","6.19"
"None","35","6.19"
"none","23","4.07"
"n/a","16","2.83"
"Na","13","2.3"
"?","12","2.12"
"All","12","2.12"
"Not sure","10","1.77"
NA,"10","1.77"
"N/a","9","1.59"
"0","6","1.06"
"na","6","1.06"
"Unknown","6","1.06"
"Edibles","5","0.88"
"Flower","4","0.71"
"None ","4","0.71"
"don't know","3","0.53"
"Edibles ","3","0.53"
"I don't know","3","0.53"
"Na ","3","0.53"
"unknown","3","0.53"
"Unknown ","3","0.53"
"All of them","2","0.35"
"All of them ","2","0.35"
"Blue dream","2","0.35"
"Don't know","2","0.35"
"Don’t know","2","0.35"
"Don’t know ","2","0.35"
"edibles","2","0.35"
"Green Crack","2","0.35"
"Idk","2","0.35"
"Jack Herer ","2","0.35"
"Lemon Skunk","2","0.35"
"No answer","2","0.35"
"No idea","2","0.35"
"Northern lights","2","0.35"
"not sure","2","0.35"
"Sativa","2","0.35"
"unkown","2","0.35"
"Unsure","2","0.35"
"White Rino","2","0.35"
"  x","1","0.18"
" not sure","1","0.18"
".?","1","0.18"
"?The one they DONT have!!","1","0.18"
"1 gram vape cartridges ","1","0.18"
"1:1 strains clones and seeds for vets","1","0.18"
"3:1 cbd tincture","1","0.18"
"a","1","0.18"
"A 10%/10% blend of THC/CBD tested by chemists and recommended by a real doctor.","1","0.18"
"AC DC","1","0.18"
"AC/dc","1","0.18"
"AC/DC (only for medical patients, since I use VA only, I can’t get the high CBD products for medical patients, so I use 1:1, which is still too high in THC","1","0.18"
"Ac/dc, cannatonic","1","0.18"
"ACDC","1","0.18"
"affordable products","1","0.18"
"African Black ","1","0.18"
"all","1","0.18"
"ALL","1","0.18"
"all low anlexty strains","1","0.18"
"All of them... I no longer can afford to buy any :/","1","0.18"
"all pax era pods","1","0.18"
"All Strains (flower not legal in NY)","1","0.18"
"All the ones recommended for PTSD","1","0.18"
"All.  The state of Florida is a for profit  state instead of patient care ","1","0.18"
"All.... I don't have a local dispensary","1","0.18"
"Alot","1","0.18"
"animal cookie","1","0.18"
"Anxiety, depression, headache and pain relief ","1","0.18"
"Any","1","0.18"
"ANY","1","0.18"
"Any ","1","0.18"
"Any - Virginia can't get it's act together","1","0.18"
"Any high grade sativa","1","0.18"
"Anything from California","1","0.18"
"Anything that is marijuana instead of hemp ","1","0.18"
"Avidekal","1","0.18"
"Banana kush","1","0.18"
"banana kush flower","1","0.18"
"Better flower","1","0.18"
"better prices like Maine","1","0.18"
"BioChem","1","0.18"
"black cherry soda","1","0.18"
"Blackberry Kush","1","0.18"
"Blue Cookies ","1","0.18"
"Blue Dream","1","0.18"
"blue kush","1","0.18"
"blue sunshine","1","0.18"
"Blueberry ","1","0.18"
"Blueberry stavia","1","0.18"
"brownies","1","0.18"
"Bruce Banners Ghost","1","0.18"
"Bubble hash","1","0.18"
"Can't use them to costly","1","0.18"
"Canadian beasters ","1","0.18"
"Candy Kush","1","0.18"
"Cannabutter","1","0.18"
"Cannagars","1","0.18"
"Capsules at all dispenseries","1","0.18"
"Capsules, and stronger edibles","1","0.18"
"Cartridges and edibles","1","0.18"
"cartriges","1","0.18"
"Cataract Kush, Night Terror OG ","1","0.18"
"cbd","1","0.18"
"Cbd","1","0.18"
"CBD candy","1","0.18"
"CBD strains","1","0.18"
"CBD/THC 1:1","1","0.18"
"CBD:THC of 4:1","1","0.18"
"Charlotte's Web, Rick Simpson Oil ","1","0.18"
"Chocolate candy bars ","1","0.18"
"CHRONIC","1","0.18"
"Clean organic cannabis","1","0.18"
"Combat cookies","1","0.18"
"Concentrates","1","0.18"
"Concentrates - CBD","1","0.18"
"Consistent strains ","1","0.18"
"Critical Kush","1","0.18"
"CT dispensaries and overall program needs reform.","1","0.18"
"DAB TABS","1","0.18"
"Definitely fruitier flavors","1","0.18"
"Devil’s Cookies","1","0.18"
"diamonds","1","0.18"
"Difficult to find same strain twice","1","0.18"
"Dips and pouches, hemp derived CBD, seeds, diamonds (concentrate), Bloody skunk (Flower strain), full melt, Bubble hash, hash rosin","1","0.18"
"do not use dispensaries.","1","0.18"
"Don't use now","1","0.18"
"dont have dispenseries","1","0.18"
"Dont know","1","0.18"
"dr grinspoon","1","0.18"
"drinks","1","0.18"
"Drinks","1","0.18"
"Dude, where's my bike?","1","0.18"
"durban poison","1","0.18"
"Durban Poison flower","1","0.18"
"Durbon Poison; lemon marange,!Lemon haze","1","0.18"
"enough edibles","1","0.18"
"Everything.  No longer live near dispensaries.","1","0.18"
"FECO/ RSO","1","0.18"
"Flavored vape cart","1","0.18"
"flower","1","0.18"
"Flower and edibles","1","0.18"
"Flower of any kind.","1","0.18"
"Flower. Illinois dispensaries have a shortage ","1","0.18"
"Food edibles","1","0.18"
"FrankenPuna ","1","0.18"
"Garlic bud","1","0.18"
"Garrila glue","1","0.18"
"Gelato, Katsu Kush.  More pure indica strains, less hybrids.","1","0.18"
"gg","1","0.18"
"GG4","1","0.18"
"Ghost train Haze ","1","0.18"
"Girl Scout cookie","1","0.18"
"Girl Scout Cookie, Blue Dream, Jack Kush","1","0.18"
"glass bangers and proper dab rigs. ","1","0.18"
"Good reliable edibles","1","0.18"
"got no local dispensery","1","0.18"
"Grandpa Larry","1","0.18"
"Grape God","1","0.18"
"Greater mixes of CBG:THC ratios","1","0.18"
"Grow my own and edibles","1","0.18"
"gsc","1","0.18"
"Guava IX","1","0.18"
"Harlequin ","1","0.18"
"Harleyquinn","1","0.18"
"Hash","1","0.18"
"Hash (70's style)","1","0.18"
"Hash oils","1","0.18"
"Hash, more edible choices","1","0.18"
"hashish","1","0.18"
"Hawaian Fresian Duck","1","0.18"
"Hawaiian ","1","0.18"
"Hawaiian or Sensamellian","1","0.18"
"Hemlock","1","0.18"
"Hemp derived products ","1","0.18"
"High cbd ","1","0.18"
"High cod/thc  content edibles (1000mg) or more","1","0.18"
"High energy strains","1","0.18"
"high terpene profiles","1","0.18"
"High thc Edibles ","1","0.18"
"High THC strains over 30% and heavily colored strains like purples and reds","1","0.18"
"Higher CBD strains","1","0.18"
"Higher dose capsules","1","0.18"
"HTFSE","1","0.18"
"hybrid capsules","1","0.18"
"I am not going regularly anymore","1","0.18"
"i d k","1","0.18"
"i do not know","1","0.18"
"I don't have legal access to cannabis","1","0.18"
"I don't knoe","1","0.18"
"I don't know enough to answer this.","1","0.18"
"I don't know yet","1","0.18"
"I don’t go out in public much don’t know","1","0.18"
"I enjoy the selection of the dispensaries within my area. ","1","0.18"
"I have access to the types I want","1","0.18"
"idk","1","0.18"
"indica","1","0.18"
"Indica ","1","0.18"
"Indica cream","1","0.18"
"Inhaler","1","0.18"
"Isn’t legal for medical use in my state ","1","0.18"
"It to be legal - period","1","0.18"
"Its all there","1","0.18"
"J1","1","0.18"
"Jack herer","1","0.18"
"Jack Herrer, Skywalker, purple train wreck","1","0.18"
"Jungle Boys","1","0.18"
"Just keep them coming","1","0.18"
"Kief","1","0.18"
"King Louis, more indica, more CBN, CBG, and terpene profiles","1","0.18"
"Kosher Kush","1","0.18"
"Krypto","1","0.18"
"Kush","1","0.18"
"Lambs breath, landrace strains","1","0.18"
"Lemon G","1","0.18"
"Lemon Jefferey","1","0.18"
"like to have a 1:1 Thc:Cbd which is often not available","1","0.18"
"Live resin, diamonds, sauce, sugar","1","0.18"
"Local closer to my home. Medical dispensary","1","0.18"
"Local Dispensaries lol","1","0.18"
"Look","1","0.18"
"Lotions","1","0.18"
"low thc  high  CBD","1","0.18"
"lower cost","1","0.18"
"Lower powered/cheaper flower so I can consume it more regularly","1","0.18"
"Lucky Charms","1","0.18"
"Many of them, so I grow my own","1","0.18"
"Maui waui","1","0.18"
"Maui woweie","1","0.18"
"MJs Wellness","1","0.18"
"Moon rocks","1","0.18"
"More 1:1 or 2:1 thc:cbd ratio","1","0.18"
"more balanced CBD/THC products","1","0.18"
"More choices","1","0.18"
"More concentrate selection","1","0.18"
"More edible variety","1","0.18"
"More edibles","1","0.18"
"More flower of any strain to cook with","1","0.18"
"more INDICA with lower THC,i need sleep","1","0.18"
"more indicas","1","0.18"
"More options altogether. Usually only 2 or 3 options at a time. ","1","0.18"
"More pain relieving yet clear headed strains","1","0.18"
"more rosin","1","0.18"
"More vape choices","1","0.18"
"more varety of flower,pre-rolls vapor","1","0.18"
"More variable cannabinoid ratios","1","0.18"
"More variety edibles ","1","0.18"
"Most","1","0.18"
"Most ","1","0.18"
"Mr. Nice guy","1","0.18"
"N/A I live in an illegal state. ","1","0.18"
"Never been to a dispensary","1","0.18"
"New at this","1","0.18"
"next new strain","1","0.18"
"Nine","1","0.18"
"no","1","0.18"
"No concerns","1","0.18"
"No dispensary ","1","0.18"
"No local dispensary ","1","0.18"
"No Over-Taxation on MEDICINE....grrrr...","1","0.18"
"Non","1","0.18"
"None are available in Louisiana","1","0.18"
"None available in my state","1","0.18"
"Nope ","1","0.18"
"Northern Lights","1","0.18"
"not applicable","1","0.18"
"Not applicable","1","0.18"
"Not sure ","1","0.18"
"Not that familiar with other strains ","1","0.18"
"Nothing comes to mind","1","0.18"
"Nothing is availible","1","0.18"
"nothing specific","1","0.18"
"Oil Extract Concetrates","1","0.18"
"old school schwag","1","0.18"
"Pennywise","1","0.18"
"Pineapple Express","1","0.18"
"Pineapple Express, Skywalker OG","1","0.18"
"Pinnaple express","1","0.18"
"Powdered drink mix packets for water","1","0.18"
"Prerolled","1","0.18"
"purple Dutchberry by artizen","1","0.18"
"Purple Haze","1","0.18"
"Quality over name","1","0.18"
"Reasonably priced medicine","1","0.18"
"reasonably priced products","1","0.18"
"Release cartridge by Fairwinds (designed for PTSD/anxiety)","1","0.18"
"Rockstar, THC 32%, CBD 13%","1","0.18"
"RSO","1","0.18"
"Runts","1","0.18"
"safe and reasonable price","1","0.18"
"Sativa ","1","0.18"
"Sayivas","1","0.18"
"Seeds ","1","0.18"
"Seeds and  clones ","1","0.18"
"Several ","1","0.18"
"Sfv Kush, Mendo Breathe and Durban Poison for daytime","1","0.18"
"Sinmint Cookies","1","0.18"
"Skunk and blue jayway","1","0.18"
"Skywalker","1","0.18"
