"q20","What types of prescription medications are you currently taking for the health conditions and symptoms you face? (Please select all that apply)","n =  105"
"response","count","percent_responded"
"I don’t take any prescription medications","41","39.05"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","40","38.1"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","28","26.67"
"Other (please specify)","24","22.86"
"Anti-inflammatories","22","20.95"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","14","13.33"
"Statins (e.g. Lipitor, Crestor)","14","13.33"
"Muscle relaxants","12","11.43"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","12","11.43"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","11","10.48"
"Steroids, including steroid creams","11","10.48"
"Antihypertensives","10","9.52"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","9","8.57"
"Sedatives/hypnotics","8","7.62"
"Antimigraine","6","5.71"
"Beta Blockers","5","4.76"
"Insulin","5","4.76"
"Proton pump inhibitors","4","3.81"
"Antipsychotics (e.g. Abilify, Seroquel)","3","2.86"
"Barbiturates (e.g. Floricet)","2","1.9"
"Antiemetics","1","0.95"
"Hormone replacement therapy (HRT)","1","0.95"
