"q7","Which of the following symptoms are most commonly associated with your primary health condition or underlying health conditions? (Please select all that apply)","n =  85"
"response","count","percent_responded"
"Depression/mood","56","65.88"
"Sleep/insomnia","56","65.88"
"Pain","55","64.71"
"Anxiety/panic attacks","46","54.12"
"Attention/concentration","40","47.06"
"Headache","36","42.35"
"Appetite/weight","34","40"
"Inflammation","33","38.82"
"Aggression","30","35.29"
"Spasms","23","27.06"
"Respiratory","14","16.47"
"Nausea/vomiting","10","11.76"
"Skin conditions","9","10.59"
"Ocular pressure","6","7.06"
"Other (please specify)","5","5.88"
"Mania/psychosis","3","3.53"
"Drug withdrawal","2","2.35"
