"q79","Were you exposed to any of the following during your service? (Please select all that apply)","n =  96"
"response","count","percent_responded"
"Asbestos","33","34.38"
"Burn Pits","33","34.38"
"Specific Environmental Hazards","22","22.92"
"I was not exposed to any of these","21","21.88"
"Gulf war illness","15","15.62"
"Agent Orange","14","14.58"
"Radiation Exposure","14","14.58"
"Other (please specify)","10","10.42"
"contaminated drinking water at camp Lejelune","9","9.38"
"Gulf war illness in Afghanistan","5","5.21"
"Children having birth defects like Spina Bifida","4","4.17"
"Contact with mustard gas or lewisite","4","4.17"
"Project 112/SHAD","1","1.04"
