"""Please rate the severity of the side effects you have faced with prescription medications compared to cannabis treatments:""",,
,,
response,count,percent_all
100,4,1.99%
99,1,0.50%
83,1,0.50%
80,1,0.50%
77,1,0.50%
76,2,1.00%
66,1,0.50%
65,1,0.50%
64,1,0.50%
61,1,0.50%
60,1,0.50%
57,1,0.50%
55,1,0.50%
54,1,0.50%
52,1,0.50%
51,9,4.48%
50,12,5.97%
49,4,1.99%
48,2,1.00%
47,2,1.00%
46,1,0.50%
45,1,0.50%
44,1,0.50%
43,1,0.50%
42,2,1.00%
41,1,0.50%
40,1,0.50%
39,1,0.50%
38,3,1.49%
36,1,0.50%
35,2,1.00%
34,1,0.50%
33,2,1.00%
32,3,1.49%
30,2,1.00%
29,4,1.99%
28,1,0.50%
27,4,1.99%
26,3,1.49%
25,2,1.00%
24,2,1.00%
22,2,1.00%
21,5,2.49%
20,2,1.00%
19,5,2.49%
18,3,1.49%
17,5,2.49%
16,3,1.49%
14,1,0.50%
13,6,2.99%
11,3,1.49%
10,3,1.49%
9,1,0.50%
8,4,1.99%
7,2,1.00%
6,5,2.49%
5,1,0.50%
4,1,0.50%
3,4,1.99%
2,3,1.49%
1,4,1.99%
0,51,25.37%
