"""Please rate the severity of the side effects you have faced with prescription medications compared to cannabis treatments:""",,,,,
,,,,,
id,response,,,Average =,24.3681592
10870148985,100,,,,
10681003613,100,,,,
10658774056,100,,,,
10658741910,100,,,,
10659841121,99,,,,
10602936383,83,,,,
11135054998,80,,,,
10884768912,77,,,,
11105188699,76,,,,
10622925288,76,,,,
10758288741,66,,,,
10671009796,65,,,,
11166384877,64,,,,
10659241585,61,,,,
10956719648,60,,,,
10977935510,57,,,,
10661330404,55,,,,
10875617011,54,,,,
11072705197,52,,,,
11220644956,51,,,,
10893948558,51,,,,
10883497633,51,,,,
10876876072,51,,,,
10875511603,51,,,,
10758753382,51,,,,
10726117373,51,,,,
10598255910,51,,,,
11037955315,51,,,,
11100035804,50,,,,
11064342543,50,,,,
10877194985,50,,,,
10867615622,50,,,,
10855896441,50,,,,
10837914247,50,,,,
10808168894,50,,,,
10671862630,50,,,,
10667907917,50,,,,
10626251939,50,,,,
10605637047,50,,,,
10598221024,50,,,,
11137652132,49,,,,
10667425695,49,,,,
10591451425,49,,,,
10716623034,49,,,,
10800317244,48,,,,
10670361680,48,,,,
11166997346,47,,,,
10878751296,47,,,,
10596131278,46,,,,
11042816472,45,,,,
10660833205,44,,,,
10667369837,43,,,,
10878422887,42,,,,
10579927077,42,,,,
11132638848,41,,,,
10598306507,40,,,,
10875467061,39,,,,
11166390085,38,,,,
10764443236,38,,,,
10668103394,38,,,,
10581447651,36,,,,
10685325930,35,,,,
10600857474,35,,,,
10580913646,34,,,,
10888170961,33,,,,
10856437127,33,,,,
10762649964,32,,,,
10716518478,32,,,,
10660294275,32,,,,
10885759801,30,,,,
10767176517,30,,,,
10822727213,29,,,,
10677560387,29,,,,
10978796014,29,,,,
10684698263,29,,,,
10872582813,28,,,,
11245529294,27,,,,
11138361963,27,,,,
10867810520,27,,,,
10598122285,27,,,,
10877606410,26,,,,
10875696093,26,,,,
10875529110,26,,,,
10879062209,25,,,,
10877375002,25,,,,
10875507777,24,,,,
10677653881,24,,,,
11156698544,22,,,,
11212805644,22,,,,
10875562577,21,,,,
10859949104,21,,,,
10668312322,21,,,,
10667384979,21,,,,
11151215837,21,,,,
10842274754,20,,,,
10974437681,20,,,,
11161813510,19,,,,
10878214093,19,,,,
10876392009,19,,,,
10584760225,19,,,,
10583893598,19,,,,
11137625236,18,,,,
10877565497,18,,,,
11170278059,18,,,,
11156548224,17,,,,
10876100377,17,,,,
10875700450,17,,,,
10833972658,17,,,,
10667384024,17,,,,
11249871277,16,,,,
11183903124,16,,,,
10875473988,16,,,,
10675097210,14,,,,
10889700541,13,,,,
10876510380,13,,,,
10875993925,13,,,,
10867812743,13,,,,
10665891738,13,,,,
10576876213,13,,,,
10831158462,11,,,,
10668597062,11,,,,
10607782752,11,,,,
11138400653,10,,,,
11027692007,10,,,,
10802360410,10,,,,
10699810522,9,,,,
10867323115,8,,,,
10836382971,8,,,,
10604065323,8,,,,
10760373939,8,,,,
11166535497,7,,,,
10877416704,7,,,,
11170108737,6,,,,
11061509902,6,,,,
11036310394,6,,,,
10682649508,6,,,,
11044680699,6,,,,
11149744263,5,,,,
10830786742,4,,,,
11006369538,3,,,,
10875530570,3,,,,
11213907729,3,,,,
10575479401,3,,,,
11137541759,2,,,,
10880798060,2,,,,
10658649988,2,,,,
10978063065,1,,,,
10875526461,1,,,,
10675806972,1,,,,
10669140575,1,,,,
11250741921,0,,,,
11246906361,0,,,,
11241251752,0,,,,
11238077963,0,,,,
11222559871,0,,,,
11215609540,0,,,,
11208627585,0,,,,
11166474867,0,,,,
11138930846,0,,,,
11134769709,0,,,,
11131514317,0,,,,
11129003813,0,,,,
11091792560,0,,,,
11062634752,0,,,,
11057923056,0,,,,
11033502369,0,,,,
11003496788,0,,,,
10923325388,0,,,,
10882385979,0,,,,
10877788133,0,,,,
10875503972,0,,,,
10875462742,0,,,,
10875460020,0,,,,
10875458883,0,,,,
10874749577,0,,,,
10868096498,0,,,,
10860535252,0,,,,
10831929904,0,,,,
10823088016,0,,,,
10749570344,0,,,,
10691181667,0,,,,
10685117930,0,,,,
10675303210,0,,,,
10668361624,0,,,,
10667582585,0,,,,
10667398958,0,,,,
10662496256,0,,,,
10658580372,0,,,,
10658577550,0,,,,
10658550964,0,,,,
10624147163,0,,,,
10597419828,0,,,,
10595615049,0,,,,
10585520406,0,,,,
10581933788,0,,,,
10575849400,0,,,,
11186271761,0,,,,
10991821033,0,,,,
10965547652,0,,,,
10868495105,0,,,,
10719755952,0,,,,
