"q6","Which is the primary health condition that causes you the most distress? (Please select one)","n =  105"
"response","count","percent_responded"
"Chronic pain","40","38.1"
"Posttraumatic stress disorder (PTSD)","28","26.67"
"Depression","9","8.57"
"Anxiety","6","5.71"
"Cancer","6","5.71"
"Arthritis","3","2.86"
"Respiratory problems","3","2.86"
"Bipolar/manic depression","2","1.9"
"Fibromyalgia/myositis","2","1.9"
"Insomnia","2","1.9"
"Attention deficit/hyperactivity disorder (ADHD)","1","0.95"
"Gastrointestinal/digestive system disorders","1","0.95"
"Hypertension","1","0.95"
"Substance abuse/addiction","1","0.95"
