"q7","Which of the following symptoms are most commonly associated with your primary health condition or underlying health conditions? (Please select all that apply)","n =  293"
"response","count","percent_responded"
"Depression/mood","293","100"
"Sleep/insomnia","228","77.82"
"Anxiety/panic attacks","208","70.99"
"Pain","179","61.09"
"Attention/concentration","139","47.44"
"Aggression","134","45.73"
"Appetite/weight","117","39.93"
"Headache","117","39.93"
"Inflammation","83","28.33"
"Spasms","77","26.28"
"Nausea/vomiting","44","15.02"
"Skin conditions","36","12.29"
"Mania/psychosis","21","7.17"
"Ocular pressure","21","7.17"
"Respiratory","21","7.17"
"Other (please specify)","9","3.07"
"Drug withdrawal","7","2.39"
"Seizures","7","2.39"
