"q6","Which is the primary health condition that causes you the most distress? (Please select one)","n =  87"
"response","count","percent_responded"
"Chronic pain","34","39.08"
"Posttraumatic stress disorder (PTSD)","28","32.18"
"Anxiety","5","5.75"
"Cancer","5","5.75"
"Depression","3","3.45"
"Cardiovascular disease","2","2.3"
"Diabetes","2","2.3"
"Arthritis","1","1.15"
"Bipolar/manic depression","1","1.15"
"Fibromyalgia/myositis","1","1.15"
"Hypertension","1","1.15"
"Insomnia","1","1.15"
"Multiple sclerosis","1","1.15"
"Reflux esophagitis","1","1.15"
"Substance abuse/addiction","1","1.15"
