"q45","What prescription medications are you currently taking for the health conditions and symptoms you face that you are actively trying to reduce the use of by using cannabis? (Please select all that apply)","n =  320"
"response","count","percent_responded"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","99","30.94"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","86","26.88"
"I have reduced my prescription medication use in the past","79","24.69"
"I don’t take any medications","65","20.31"
"Anti-inflammatories","59","18.44"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","59","18.44"
"Muscle relaxants","52","16.25"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","46","14.37"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","37","11.56"
"I'm not trying to reduce any medication use","30","9.38"
"Other (please specify)","24","7.5"
"Sedatives/hypnotics","17","5.31"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","17","5.31"
"Steroids, including steroid creams","16","5"
"Antihypertensives","15","4.69"
"Statins (e.g. Lipitor, Crestor)","15","4.69"
"Antimigraine","13","4.06"
"Beta Blockers","11","3.44"
"Antipsychotics (e.g. Abilify, Seroquel)","10","3.12"
"Barbiturates (e.g. Floricet)","7","2.19"
"Proton pump inhibitors","6","1.88"
"Antiemetics","4","1.25"
"Insulin","4","1.25"
"Hormone replacement therapy (HRT)","3","0.94"
