"q38","Which health conditions do you find cannabis to be helpful in treating? (Please select all that apply)","n =  148"
"response","count","percent_responded"
"Chronic pain","103","69.59"
"Depression","74","50"
"Posttraumatic stress disorder (PTSD)","73","49.32"
"Anxiety","71","47.97"
"Arthritis","70","47.3"
"Insomnia","43","29.05"
"Hypertension","17","11.49"
"Other (please specify)","17","11.49"
"Gastrointestinal/digestive system disorders","16","10.81"
"Cancer","13","8.78"
"Fibromyalgia/myositis","13","8.78"
"Attention deficit/hyperactivity disorder (ADHD)","12","8.11"
"Respiratory problems","12","8.11"
"Diabetes","9","6.08"
"Allergies","8","5.41"
"Inflammatory bowel disease (IBD)","8","5.41"
"Substance abuse/addiction","8","5.41"
"Reflux esophagitis","7","4.73"
"Cardiovascular disease","6","4.05"
"Bipolar/manic depression","5","3.38"
"Eczema","3","2.03"
"Epilepsy","2","1.35"
"HIV/AIDS","1","0.68"
"Multiple sclerosis","1","0.68"
"Obesity","1","0.68"
