"q48","What are your general thoughts regarding the legalization of cannabis?","n =  829"
"response","count","percent_responded"
"About time","5","0.6"
"All for it","5","0.6"
"Great","5","0.6"
"yes","5","0.6"
"Legalize it","4","0.48"
"Should be legal","4","0.48"
"Do it","3","0.36"
"I think it should be legal","3","0.36"
"It should be legal","3","0.36"
"Love it","3","0.36"
"Positive","3","0.36"
"Positive ","3","0.36"
"Yes","3","0.36"
"About time ","2","0.24"
"About time!","2","0.24"
"Agree","2","0.24"
"Awesome","2","0.24"
"Finally!","2","0.24"
"Good","2","0.24"
"Good ","2","0.24"
"Happy","2","0.24"
"It's about time","2","0.24"
"It's about time.","2","0.24"
"It’s about time ","2","0.24"
"Long overdue!","2","0.24"
"positive","2","0.24"
"pro","2","0.24"
"Pro-legalization","2","0.24"
"Should be legalized ","2","0.24"
"Very happy","2","0.24"
"Yes!","2","0.24"
"100 for it","1","0.12"
"100% agree in medical use, want to see it legal for medical at the Federal level.  If it is legal for recreational use, users need to be at least 25 as it seems to have negative side effects more on a developing brain.  It is a lot safer than alcohol, but especially with a younger brain, it is not innocuous. ","1","0.12"
"100% for legalization ","1","0.12"
"100% in favor. ","1","0.12"
"100% needs to happen, stigma needs to be eliminated ","1","0.12"
"100% pro","1","0.12"
"50 years overdue.","1","0.12"
"50/50 I want it to happen but I don’t want the standardization to limit quality. ","1","0.12"
"A positive turn for patients with a wide spectrum of issues. Less pharmies and more naturals! We've all seen the effects of too many pills on our neighbors, friends and family. Offer more alternatives and let people decide for themselves what works better for them and has less side effects.","1","0.12"
"• More and more people will use cannabis   • Cannibis legalization will usher in Americas new version of ""big tobacco""    • Prices of marijuana will increase and those who TRULY need it will suffer vs people who use it just to get high.   • Drug cartels and the black market will continue to function under the legalization of marijuana and will benefit.   • The number of fatal accidents with drivers testing positive for marijuana use has sky rocketed.     I am a medical marijuana patient, I do use it recreationally but it is going to do more harm then it does good and that is my personal opinion as well as factual studies that have proven legalization brings problems. ","1","0.12"
"About bloody time ","1","0.12"
"About time !!","1","0.12"
"About time!  ","1","0.12"
"About time.","1","0.12"
"about time. ","1","0.12"
"Absolutely","1","0.12"
"All for it. Regulate and with proper use it's far safer than alcohol or any other drugs. ","1","0.12"
"All for national legalization","1","0.12"
"all in","1","0.12"
"All in!!!","1","0.12"
"Am all for it","1","0.12"
"amazing ","1","0.12"
"As a medical patient I find access awesome but some of the dispensaries are more strict than others. SERA naturals for example is like fort nox and I feel as though I'm being treated like a criminal in there. Also, some of the workers at dispensaries (NETA) get personally offended if you don't like their product even if it is objectively not of good quality. It takes a bit to find places that have all around great quality products and selection. So far Revolutionary Clinics is my favorite but their edible selection isn't great.","1","0.12"
"As a UK resident, any move in the law to help me to access medicinal cannabis","1","0.12"
"As a Veteran with PTSD in a state where it isn't legal, I have to watch friends die due to opioid addictions rather than allow them to smoke a plant. Where is the logic in that? I don't smoke to get ""high"", I smoke to get ""normal"".  I am off of over 15 drugs with cannabis and I can be a father. Where on the ""legal"" drugs I was a zombie","1","0.12"
"As long as it doesn't interrupt the supply to people with medical cards I'm all for it.","1","0.12"
"As with any ingested substance that affects the body, there are risks for abuse and disuse, along with potential unintended social side effects, but when compared to other socially acceptable substances - notably alcohol - it is far less risky.  If nothing else, legalization should open up the doors for deep medical research which will hopefully provide effective alternatives to pharmaceuticals for many people.","1","0.12"
"awesome ","1","0.12"
"Awesome ","1","0.12"
"awesome finally not a criminal love it and to the haters.i sing this song!!! LET IT GO!!! LET IT GO!!!! THE WEED IS FINALLY FREE YEAH!!!!!!!! ABOUT TIME!!!!! ","1","0.12"
"Awesome.i have been hiding for 40 years","1","0.12"
"Based on recommendations from the Shafer Report, legalization should have happened in 1972 ","1","0.12"
"Being a byproduct of the hippie era, I've long been an advocate for legalization for both medical and recreational use. ","1","0.12"
"Best decision ever made.","1","0.12"
"Best news ever!!","1","0.12"
"Best thing that’s happened to medicine since the discovery of anesthesia. ","1","0.12"
"Best thing to happen ","1","0.12"
"Better for everyone ","1","0.12"
"Better research","1","0.12"
"Better than alcohol/pills","1","0.12"
"Big supporter especially in the age of opioid abuse and the reluctance of medical providers to prescribe opioid for real, actual and accute every day pain","1","0.12"
"Black communities have been systematically targeted through historic illegal cannabis. Because of this, legalization has a social justice component that is relevant and important. I believe this is why it stayed illegal and punishment were bias between black and white communities. Post civil rights movement it was used as a systematic tool of oppression. ","1","0.12"
"bring it on","1","0.12"
"Bring it on! ","1","0.12"
"Cannabis and Hemp are both very powerful resources that have been used for healing bodies and building houses throughout history. I am cautiously optimistic to see the government regulations of this plant come into the spotlight over the last few years. ","1","0.12"
"Cannabis being sold from the dispensary will have been controlled vs what we call 'street weed' that can have foreign substances in them without your knowledge","1","0.12"
"Cannabis does not kill people, it helps people. things that you have to make like alcohol and hard drugs kill everyday. ","1","0.12"
"Cannabis is natures true medicine, it shouldn’t be illegal to consume it","1","0.12"
"Cannabis legalization and decriminalization across the country is long overdue. We need to stop locking up people of color over a plant and start generating tax revenue and open access to medical patients across the board.  ","1","0.12"
"Cannabis needs to be legalized in all states to remove the current stigma, allowing people to investigate the possible use and health benifits without negative consequence.   ","1","0.12"
"Cannabis needs to be legalized in medical and recreational forms. Not only will the ill benefit from this, but an average citizen will as well. Cannabis as it is well know in The Community, is a harmless substance that is only illegal because of racism that occurred in the early days of America.     In other words Legalize It!","1","0.12"
"cannabis should be 100% legal on federal and state levels just like alcohol.","1","0.12"
"Cannabis should be legal in the USA and in the world.","1","0.12"
"Cannabis should be legal to buy and grow everywhere in the world","1","0.12"
"Cannabis should be legal.  If you don't like it, don't use it.","1","0.12"
"Cannabis should be legalized federally across-the-board alcohol should be outlawed","1","0.12"
"Cannabis should be legalized.","1","0.12"
