"q46","Please rate the severity of the side effects you have faced with prescription medications compared to cannabis treatments:","n =  98  avg =  18.857"
"response","count","percent_responded"
"0","33","33.67"
"50","5","5.1"
"1","4","4.08"
"22","4","4.08"
"10","3","3.06"
"13","3","3.06"
"16","3","3.06"
"17","3","3.06"
"26","3","3.06"
"9","3","3.06"
"100","2","2.04"
"12","2","2.04"
"19","2","2.04"
"2","2","2.04"
"21","2","2.04"
"3","2","2.04"
"7","2","2.04"
"70","2","2.04"
"83","2","2.04"
"11","1","1.02"
"14","1","1.02"
"25","1","1.02"
"33","1","1.02"
"35","1","1.02"
"4","1","1.02"
"48","1","1.02"
"5","1","1.02"
"51","1","1.02"
"57","1","1.02"
"6","1","1.02"
"60","1","1.02"
"63","1","1.02"
"8","1","1.02"
"82","1","1.02"
"97","1","1.02"
