"q67","Which VA do you go to?","n =  274"
"response","count","percent_responded"
"None","12","4.38"
"none","7","2.55"
"n/a","6","2.19"
"N/A","5","1.82"
"Boston","4","1.46"
"Togus","4","1.46"
"Bedford","3","1.09"
"Providence","3","1.09"
"Providence ","3","1.09"
"American Lake","2","0.73"
"Baltimore ","2","0.73"
"Bedford, MA","2","0.73"
"Brockton MA","2","0.73"
"Indianapolis ","2","0.73"
"leeds","2","0.73"
"Leeds, MA","2","0.73"
"Lynn","2","0.73"
"na","2","0.73"
"nj","2","0.73"
"Northampton ","2","0.73"
"Providence RI","2","0.73"
"Providence, R.I.","2","0.73"
"Springfield Ma","2","0.73"
"Washington","2","0.73"
"Worcester","2","0.73"
"Worcester ","2","0.73"
"Worcester MA","2","0.73"
" Brockton Massachusetts","1","0.36"
"A","1","0.36"
"All mass clinics","1","0.36"
"Baltimore VA Medical Center","1","0.36"
"bedford , ma","1","0.36"
"Bedford, ma","1","0.36"
"boston","1","0.36"
"Boston ","1","0.36"
"Boston - JP","1","0.36"
"Boston & Worcester","1","0.36"
"boston area","1","0.36"
"boston campus","1","0.36"
"boston ma","1","0.36"
"Boston MA","1","0.36"
"Boston WRox","1","0.36"
"Brewer","1","0.36"
"Brockton","1","0.36"
"Brockton ","1","0.36"
"Brockton VA","1","0.36"
"Brockton. Massachusetts","1","0.36"
"Brooksville","1","0.36"
"Burlington vermont","1","0.36"
"cape coral.","1","0.36"
"Castle Point, VAHVHCS","1","0.36"
"CBOC Yuma AZ","1","0.36"
"Cheyenne","1","0.36"
"Cheyenne and Denver","1","0.36"
"Clarksville ,Tn","1","0.36"
"columbia,sc","1","0.36"
"Conroe TX","1","0.36"
"Corpus Christi, Texas ","1","0.36"
"do not go to va","1","0.36"
"Do not go to va","1","0.36"
"do not use va","1","0.36"
"don't","1","0.36"
"Don't ","1","0.36"
"Don't go to VA","1","0.36"
"Don’t ","1","0.36"
"Don’t use va","1","0.36"
"Dublin, Ga.","1","0.36"
"Durham and Raleigh NC","1","0.36"
"Edith Nourse Hospital, Bedford, MA","1","0.36"
"Eglin","1","0.36"
"Eureka ca","1","0.36"
"Fitchburg","1","0.36"
"Florence,MA","1","0.36"
"Fredericksburg ","1","0.36"
"Fresno, CA","1","0.36"
"Fresno.. which I will never return to adter they broke my rt collar bone 2 years ago and have covered it up since","1","0.36"
"Ft Worth,  tx","1","0.36"
"Ft. Harrison, MT","1","0.36"
"Hampton, Virginia","1","0.36"
"Hilo Hawaii ","1","0.36"
"Hilo, Hawai’i ","1","0.36"
"Huntington WV ","1","0.36"
"I'm currently in using a VA","1","0.36"
"I do not go to the VA","1","0.36"
"i don't","1","0.36"
"I don't","1","0.36"
"I don't ","1","0.36"
"I don't use the VA","1","0.36"
"I don’t ","1","0.36"
"I dont","1","0.36"
"Jacksonville FL ","1","0.36"
"Jamaica Plain","1","0.36"
"Jamaica Plain Boston MA","1","0.36"
"James Haley","1","0.36"
"Jp","1","0.36"
"Juneau He does not approve","1","0.36"
"Kalispell","1","0.36"
"Kerrville, TX","1","0.36"
"Lakeland ","1","0.36"
"Las Vegas","1","0.36"
"Lawton, Ok","1","0.36"
"Leavenworth KS","1","0.36"
"Leed's Northampton MA","1","0.36"
"Leeds","1","0.36"
"LEEDS MA","1","0.36"
"Leeds VA Northampton, Ma","1","0.36"
"Leeds, Springfield OPC","1","0.36"
"LITTLE ROCK","1","0.36"
"Little Rock  AR ","1","0.36"
"Livermore,Palo alto,modesto","1","0.36"
"Loma 6","1","0.36"
"Loma Linda","1","0.36"
"Loma Linda ","1","0.36"
"Louis Stokes","1","0.36"
"Maine","1","0.36"
"Malcolm Randall Gainesville Florida ","1","0.36"
"Manchester","1","0.36"
"Manchester NH","1","0.36"
"Manchester, NH","1","0.36"
"Marion","1","0.36"
"Martinez, CA","1","0.36"
"martinsburg","1","0.36"
"Massachusetts VA hospital and clinics ","1","0.36"
"MCGUIRE VA MEDICAL CENTER","1","0.36"
"Minneapolis","1","0.36"
"mt. vernon wa.","1","0.36"
"Mt. Vernon, WA","1","0.36"
"Na","1","0.36"
"Naples Fl","1","0.36"
"Nashville ","1","0.36"
"New Philadelphia, Ohio","1","0.36"
"Newington ct.","1","0.36"
"Nine","1","0.36"
"No","1","0.36"
"NONE","1","0.36"
"north carolina","1","0.36"
"Northampton/Leeds   ","1","0.36"
"Northhampton, Ma","1","0.36"
"OKC","1","0.36"
"OKC ","1","0.36"
"Oklahoma City ","1","0.36"
