"q61","Do you face any of the following barriers for you to consume cannabis (Please select all that apply)","n =  105"
"response","count","percent_responded"
"Money to purchase products","65","61.9"
"Access to the right products","45","42.86"
"Money required to get medical card","45","42.86"
"Owning a firearm","34","32.38"
"Stigma","31","29.52"
"Place to consume cannabis","26","24.76"
"Lack of knowledge","18","17.14"
"Workplace testing or other policies","18","17.14"
"Other (please specify)","7","6.67"
"Previous bad experience","6","5.71"
