"q52","What questions regarding cannabis did we not ask that are important to you?","n =  269"
"response","count","percent_responded"
"None","51","18.96"
"none","23","8.55"
"N/A","9","3.35"
"None ","8","2.97"
"N/a","5","1.86"
"Na","4","1.49"
"Nothing","4","1.49"
"n/a","3","1.12"
"No","3","1.12"
"Not sure","3","1.12"
"na","2","0.74"
"none ","2","0.74"
"Not sure ","2","0.74"
"Nothing ","2","0.74"
"Nothing.","2","0.74"
"about my sustained and maintenance care regarding opiate addiction recovery. Survey focuses only on patients who are ""trying it"" ... I've been succeeding for the past 3 years. The information regarding the continued care in this area of recovery that is not ""NEW""OR ""TRYING"" ... but actually succeeding, (questions about ""sustaining success,"" etc)","1","0.37"
"Accepting payments in XLM, XRP, ETH BCH, BTC.","1","0.37"
"Add FECO to list of products used.","1","0.37"
"all good","1","0.37"
"All seemed to be covered","1","0.37"
"All where","1","0.37"
"Are the patients' needs being met satisfactorily by the supply of dispensaries (No, more demand than available supply)","1","0.37"
"Are there social benefits that cannabis can offer people?","1","0.37"
"Are your healcare providers knowledgeable about the specifics of medicinal cannabis use? Not at all!","1","0.37"
"Aroma ","1","0.37"
"As someone who has moved out of state, I would love comparisons made between our flower to say, Colorado or California. I have tried a lot that Massachusetts has had to offer and it just seems to continually fall short. ","1","0.37"
"Black market influence, pricing, spectrum of choices, etc. ","1","0.37"
"Can't think of any","1","0.37"
"Can't think of any.","1","0.37"
"can not think of any ","1","0.37"
"Can’t think of any","1","0.37"
"Can’t think of any ","1","0.37"
"Can’t think of any at this moment ","1","0.37"
"Clinical trials, the first of which should be how toxic is cannabis?","1","0.37"
"Consider specifying differences in patterns of use related to medicinal use vs. recreation use. ","1","0.37"
"Cost","1","0.37"
"Current Legal ramifications ","1","0.37"
"Demographic information if people want to share- it's good to get a cross section of what type of people are using cannabis now, what careers they have, are they parents/students/ professionals etc.","1","0.37"
"Did you grow up in a family where Cannabis was used?","1","0.37"
"Dispensary employees need to understand which terpenes are good for different ailments.  ","1","0.37"
"Do you feel any symptoms of addiction?  Do you regularly mix cannabis with alcohol or other drugs.  What recreational drugs do you take?","1","0.37"
"Do you feel comfortable consuming cannabis in your housing ?  ","1","0.37"
"Do you know about the dry and cure process and how important it is?","1","0.37"
"Does cannabis treat the symptoms you experience on a daily basis? ","1","0.37"
