"q51","What type of cannabis advertising have you been exposed to in the past 30 days? Please check all that apply.","n =  101"
"response","count","percent_responded"
"Digitally on a cell phone, tablet, or computer (through email, text messages, websites, or social media)","44","43.56"
"Have not seen advertising","32","31.68"
"In magizines or newspapers","20","19.8"
"On billboards","11","10.89"
"In pamphlets or flyers","9","8.91"
"On television","9","8.91"
"At an event, like a concert, fair, rodeo, parade, or similar","7","6.93"
"On storefronts","7","6.93"
"Other (please specify)","7","6.93"
"On street side marketing, like sandwich boards","6","5.94"
"On the radio","6","5.94"
"Other (please specify below)","3","2.97"
"On signs being held by people on sidewalks (sign wavers)","2","1.98"
