"q67","Which VA do you go to?","n =  303"
"response","count","percent_responded"
"None","9","2.97"
"Providence","7","2.31"
"n/a","6","1.98"
"Bedford","4","1.32"
"Leeds","4","1.32"
"N/A","4","1.32"
"Togus","4","1.32"
"Boston","3","0.99"
"none","3","0.99"
"Atlanta","2","0.66"
"Bedford ","2","0.66"
"Boston JP","2","0.66"
"leeds","2","0.66"
"Loma Linda ","2","0.66"
"Lynn","2","0.66"
"Manchester","2","0.66"
"Na","2","0.66"
"Newington, CT","2","0.66"
"Northampton","2","0.66"
"Pittsburgh","2","0.66"
"Providence RI","2","0.66"
"Providence, R.I.","2","0.66"
"Raymond G Murphy","2","0.66"
"Springfield Ma","2","0.66"
"Washington","2","0.66"
"Worcester","2","0.66"
" Brockton Massachusetts","1","0.33"
"Aht aht ","1","0.33"
"Albany, NY","1","0.33"
"Albuquerque ","1","0.33"
"All mass clinics","1","0.33"
"American Lake","1","0.33"
"Anne Arbor","1","0.33"
"Asheville, NC","1","0.33"
"Augusta","1","0.33"
"Baltimore ","1","0.33"
"Baltimore VA Medical Center","1","0.33"
"Baton Rouge","1","0.33"
"Bay Pines","1","0.33"
"Baypines Va","1","0.33"
"Beaumont TX","1","0.33"
"bedford","1","0.33"
"bedford , ma","1","0.33"
"Bedford, ma","1","0.33"
"BOHC","1","0.33"
"Boston ","1","0.33"
"Boston - JP","1","0.33"
"boston area","1","0.33"
"boston campus","1","0.33"
"Boston MA","1","0.33"
"Boston WRox","1","0.33"
"Brockton ","1","0.33"
"Brockton VA","1","0.33"
"Brockton, J.P. , W. Roxbury","1","0.33"
"Brockton, JP , west roxbury","1","0.33"
"Brockton, Ma","1","0.33"
"Brockton. Massachusetts","1","0.33"
"Burlington vermont","1","0.33"
"Campbell county  va","1","0.33"
"cape coral.","1","0.33"
"Captain James A lovell federal health care center","1","0.33"
"Captain James A. Federal Health Care Center, North Chicago VA, IL","1","0.33"
"Caribou Maine","1","0.33"
"Central Western MA","1","0.33"
"Chalmers P. Wilie Ambulatory Care Center","1","0.33"
"Charleston VA weapons station ","1","0.33"
"Cheyenne","1","0.33"
"Cheyenne and Denver","1","0.33"
"Colorado VA","1","0.33"
"Corpus Christi, Texas ","1","0.33"
"Denver ","1","0.33"
"Denver & Golden","1","0.33"
"do not go to va","1","0.33"
"do not use va","1","0.33"
"Don't ","1","0.33"
"Don’t ","1","0.33"
