"q40","What symptoms do you find medical cannabis is most helpful in treating/alleviating? (Please select all that apply)","n =  98"
"response","count","percent_responded"
"Pain","74","75.51"
"Sleep/insomnia","59","60.2"
"Depression/mood","51","52.04"
"Anxiety/panic attacks","43","43.88"
"Aggression","29","29.59"
"Headache","29","29.59"
"Attention/concentration","27","27.55"
"Spasms","27","27.55"
"Appetite/weight","24","24.49"
"Inflammation","23","23.47"
"Nausea/vomiting","17","17.35"
"Ocular pressure","6","6.12"
"Mania/psychosis","5","5.1"
"Skin conditions","4","4.08"
"Respiratory","3","3.06"
"Seizures","3","3.06"
"Drug withdrawal","2","2.04"
"Other (please specify)","2","2.04"
