"q12","What is your top preferred method (that is, favorite) of using cannabis? (Please select one)","n =  242"
"response","count","percent_responded"
"Smoke flower","92","38.02"
"Vape cartridges","49","20.25"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","40","16.53"
"Vape flower","21","8.68"
"Tinctures","17","7.02"
"Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","15","6.2"
"Capsules","5","2.07"
"Salves/topicals","2","0.83"
"Other (please specify)","1","0.41"
