"q5","Which of the following health conditions do you face and/or have been diagnosed with? (Please select all that apply)","n =  133"
"response","count","percent_responded"
"Chronic pain","119","89.47"
"Depression","103","77.44"
"Anxiety","97","72.93"
"Posttraumatic stress disorder (PTSD)","91","68.42"
"Arthritis","67","50.38"
"Insomnia","65","48.87"
"Gastrointestinal/digestive system disorders","42","31.58"
"Hypertension","39","29.32"
"Other (please specify)","39","29.32"
"Obesity","34","25.56"
"Reflux esophagitis","33","24.81"
"Respiratory problems","32","24.06"
"Allergies","31","23.31"
"Diabetes","20","15.04"
"Fibromyalgia/myositis","18","13.53"
"Substance abuse/addiction","18","13.53"
"Bipolar/manic depression","17","12.78"
"Attention deficit/hyperactivity disorder (ADHD)","16","12.03"
"Cardiovascular disease","14","10.53"
"Inflammatory bowel disease (IBD)","13","9.77"
"Cancer","11","8.27"
"Eczema","10","7.52"
"Multiple sclerosis","3","2.26"
"HIV/AIDS","2","1.5"
"Epilepsy","1","0.75"
