"q5","Which of the following health conditions do you face and/or have been diagnosed with? (Please select all that apply)","n =  105"
"response","count","percent_responded"
"Chronic pain","76","72.38"
"Depression","74","70.48"
"Anxiety","72","68.57"
"Posttraumatic stress disorder (PTSD)","66","62.86"
"Arthritis","43","40.95"
"Insomnia","33","31.43"
"Gastrointestinal/digestive system disorders","25","23.81"
"Hypertension","23","21.9"
"Allergies","22","20.95"
"Reflux esophagitis","21","20"
"Attention deficit/hyperactivity disorder (ADHD)","20","19.05"
"Cancer","20","19.05"
"Other (please specify)","20","19.05"
"Substance abuse/addiction","18","17.14"
"Obesity","16","15.24"
"Diabetes","15","14.29"
"Respiratory problems","14","13.33"
"Fibromyalgia/myositis","9","8.57"
"Inflammatory bowel disease (IBD)","9","8.57"
"Bipolar/manic depression","7","6.67"
"Cardiovascular disease","4","3.81"
"Eczema","4","3.81"
"Epilepsy","3","2.86"
"Alzheimer's","1","0.95"
"HIV/AIDS","1","0.95"
"Multiple sclerosis","1","0.95"
