"q6","Which is the primary health condition that causes you the most distress? (Please select one)","n =  98"
"response","count","percent_responded"
"Chronic pain","52","53.06"
"Posttraumatic stress disorder (PTSD)","16","16.33"
"Depression","6","6.12"
"Anxiety","5","5.1"
"Cancer","5","5.1"
"Arthritis","3","3.06"
"Diabetes","2","2.04"
"Fibromyalgia/myositis","2","2.04"
"Bipolar/manic depression","1","1.02"
"Gastrointestinal/digestive system disorders","1","1.02"
"HIV/AIDS","1","1.02"
"Inflammatory bowel disease (IBD)","1","1.02"
"Multiple sclerosis","1","1.02"
"Obesity","1","1.02"
"Respiratory problems","1","1.02"
