"q20","What types of prescription medications are you currently taking for the health conditions and symptoms you face? (Please select all that apply)","n =  320"
"response","count","percent_responded"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","141","44.06"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","97","30.31"
"I don’t take any prescription medications","88","27.5"
"Anti-inflammatories","84","26.25"
"Other (please specify)","62","19.38"
"Muscle relaxants","57","17.81"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","53","16.56"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","42","13.12"
"Statins (e.g. Lipitor, Crestor)","42","13.12"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","38","11.88"
"Steroids, including steroid creams","34","10.62"
"Antihypertensives","33","10.31"
"Antimigraine","24","7.5"
"Beta Blockers","23","7.19"
"Sedatives/hypnotics","20","6.25"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","20","6.25"
"Antipsychotics (e.g. Abilify, Seroquel)","17","5.31"
"Proton pump inhibitors","14","4.38"
"Hormone replacement therapy (HRT)","9","2.81"
"Insulin","9","2.81"
"Antiemetics","4","1.25"
"Barbiturates (e.g. Floricet)","4","1.25"
