"q29","What percentage of disability are you rated, as indicated by the Veteran's Affairs (VA)?","n =  126  avg =  37.46"
"response","count","percent_responded"
"0","42","33.33"
"80","13","10.32"
"90","9","7.14"
"100","7","5.56"
"60","7","5.56"
"10","6","4.76"
"20","6","4.76"
"40","5","3.97"
"70","5","3.97"
"1","4","3.17"
"30","4","3.17"
"50","4","3.17"
"9","2","1.59"
"22","1","0.79"
"3","1","0.79"
"49","1","0.79"
"5","1","0.79"
"51","1","0.79"
"53","1","0.79"
"67","1","0.79"
"74","1","0.79"
"75","1","0.79"
"87","1","0.79"
"93","1","0.79"
"99","1","0.79"
