"q20","What types of prescription medications are you currently taking for the health conditions and symptoms you face? (Please select all that apply)","n =  265"
"response","count","percent_responded"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","116","43.77"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","83","31.32"
"I don’t take any prescription medications","73","27.55"
"Anti-inflammatories","54","20.38"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","49","18.49"
"Muscle relaxants","42","15.85"
"Other (please specify)","42","15.85"
"Statins (e.g. Lipitor, Crestor)","39","14.72"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","33","12.45"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","32","12.08"
"Antihypertensives","24","9.06"
"Steroids, including steroid creams","20","7.55"
"Beta Blockers","14","5.28"
"Antipsychotics (e.g. Abilify, Seroquel)","12","4.53"
"Proton pump inhibitors","11","4.15"
"Hormone replacement therapy (HRT)","9","3.4"
"Sedatives/hypnotics","9","3.4"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","9","3.4"
"Insulin","8","3.02"
"Antimigraine","6","2.26"
"Barbiturates (e.g. Floricet)","5","1.89"
"Antiemetics","1","0.38"
