"q20","What types of prescription medications are you currently taking for the health conditions and symptoms you face? (Please select all that apply)","n =  85"
"response","count","percent_responded"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","42","49.41"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","34","40"
"Muscle relaxants","24","28.24"
"Statins (e.g. Lipitor, Crestor)","24","28.24"
"Other (please specify)","23","27.06"
"Anti-inflammatories","20","23.53"
"I don’t take any prescription medications","17","20"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","15","17.65"
"Antihypertensives","13","15.29"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","13","15.29"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","12","14.12"
"Steroids, including steroid creams","11","12.94"
"Antimigraine","9","10.59"
"Beta Blockers","9","10.59"
"Antipsychotics (e.g. Abilify, Seroquel)","7","8.24"
"Sedatives/hypnotics","7","8.24"
"Insulin","6","7.06"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","6","7.06"
"Proton pump inhibitors","3","3.53"
"Antiemetics","2","2.35"
"Barbiturates (e.g. Floricet)","2","2.35"
"Hormone replacement therapy (HRT)","1","1.18"
