"q48","What are your general thoughts regarding the legalization of cannabis?","n =  438"
"response","count","percent_responded"
"About time","4","0.91"
"About time ","3","0.68"
"I think it should be legal","3","0.68"
"Legalize it","3","0.68"
"pro","3","0.68"
"Very happy","3","0.68"
"yes","3","0.68"
"Fantastic ","2","0.46"
"Finally","2","0.46"
"Great","2","0.46"
"It's about time!","2","0.46"
"It should be legalized ","2","0.46"
"Long overdue.","2","0.46"
"Love it","2","0.46"
"make it legal","2","0.46"
"Should be legal","2","0.46"
"Very good ","2","0.46"
"100% for it","1","0.23"
"100% for legalization ","1","0.23"
"100% positive.","1","0.23"
"50 years overdue.","1","0.23"
"50/50 I want it to happen but I don’t want the standardization to limit quality. ","1","0.23"
"• More and more people will use cannabis   • Cannibis legalization will usher in Americas new version of ""big tobacco""    • Prices of marijuana will increase and those who TRULY need it will suffer vs people who use it just to get high.   • Drug cartels and the black market will continue to function under the legalization of marijuana and will benefit.   • The number of fatal accidents with drivers testing positive for marijuana use has sky rocketed.     I am a medical marijuana patient, I do use it recreationally but it is going to do more harm then it does good and that is my personal opinion as well as factual studies that have proven legalization brings problems. ","1","0.23"
"About bloody time ","1","0.23"
"About Fucking Time","1","0.23"
"About time !!","1","0.23"
"About time!  Of course, I am in Canada :)","1","0.23"
"About time. Time to fight Big Pharma and make it federally legal so the V.A. could dispense it.","1","0.23"
"Absolutely","1","0.23"
"Age regulated but absolutely support","1","0.23"
"Agree","1","0.23"
"Alcohol is legal, and I consider them to be equal for recreational use.  I like that laws are being made to ensure safety.  I will continue to use my dispensary.","1","0.23"
"All for it","1","0.23"
"ALL FOR IT","1","0.23"
"Am all for it","1","0.23"
"As a medical patient I find access awesome but some of the dispensaries are more strict than others. SERA naturals for example is like fort nox and I feel as though I'm being treated like a criminal in there. Also, some of the workers at dispensaries (NETA) get personally offended if you don't like their product even if it is objectively not of good quality. It takes a bit to find places that have all around great quality products and selection. So far Revolutionary Clinics is my favorite but their edible selection isn't great.","1","0.23"
"As long as it doesn't interrupt the supply to people with medical cards I'm all for it.","1","0.23"
"awesome finally not a criminal love it and to the haters.i sing this song!!! LET IT GO!!! LET IT GO!!!! THE WEED IS FINALLY FREE YEAH!!!!!!!! ABOUT TIME!!!!! ","1","0.23"
"AWESOME SAUCE!!!!!","1","0.23"
"Awesome.i have been hiding for 40 years","1","0.23"
"Based on recommendations from the Shafer Report, legalization should have happened in 1972 ","1","0.23"
"Been an advocate for a long time","1","0.23"
"Been too long for legalization ","1","0.23"
"Best news ever!!","1","0.23"
"Best thing ever. Should have happened year ago","1","0.23"
"best thing that has happened in years","1","0.23"
"Best thing that’s happened to medicine since the discovery of anesthesia. ","1","0.23"
"Better for everyone ","1","0.23"
"Big supporter especially in the age of opioid abuse and the reluctance of medical providers to prescribe opioid for real, actual and accute every day pain","1","0.23"
"Black markets are inherently dangerous. Legalizing cannabis has proven to be extremely successful in every case it's been implemented here in the US","1","0.23"
"Bout damn time","1","0.23"
"Cannabis is most probably the best Healing Herb given to us by Nature. The medicinal use of cannabis extracts/tincture/oils is as far as I’m concerned my human right. The blatant disregard towards the health and general well being of humankind by governments and money making pharmaceutical industries, is criminal.","1","0.23"
"Cannabis is natures true medicine, it shouldn’t be illegal to consume it","1","0.23"
"Cannabis needs to be legalized in all states to remove the current stigma, allowing people to investigate the possible use and health benifits without negative consequence.   ","1","0.23"
"Cannabis should be legalized federally across-the-board alcohol should be outlawed","1","0.23"
"Cannabis should not have been prohibited. The public has been deprived of a natural substance that is perfect for the human body to use to keep all systems in balance,","1","0.23"
"CBD Oil has saved me from opioid usage..... I was sufferring for years with nothng but pharma meds, I was more sicker using pharma meds. As soon as I started using CBD Oil that all changed. It has helped me so much have a life I can finally live. It should be legalized, however it should also be regulated. To many companies out there trying to jump on the train when their products are crap. I get my oil from a reputable company no fillers CO2 processing and FDA approved facility. Education is needed all around for many so they are not taken advantage of. ","1","0.23"
