"q12","What is your top preferred method (that is, favorite) of using cannabis? (Please select one)","n =  913"
"response","count","percent_responded"
"Smoke flower","485","53.12"
"Vape cartridges","159","17.42"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","100","10.95"
"Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","63","6.9"
"Vape flower","60","6.57"
"Tinctures","28","3.07"
"Capsules","6","0.66"
"Salves/topicals","6","0.66"
"Other (please specify)","5","0.55"
"Transdermal patches","1","0.11"
