"q7","Which of the following symptoms are most commonly associated with your primary health condition or underlying health conditions? (Please select all that apply)","n =  126"
"response","count","percent_responded"
"Sleep/insomnia","88","69.84"
"Depression/mood","79","62.7"
"Anxiety/panic attacks","68","53.97"
"Pain","68","53.97"
"Attention/concentration","45","35.71"
"Aggression","40","31.75"
"Appetite/weight","39","30.95"
"Inflammation","31","24.6"
"Headache","28","22.22"
"Spasms","22","17.46"
"Nausea/vomiting","9","7.14"
"Other (please specify)","5","3.97"
"Skin conditions","4","3.17"
"Ocular pressure","3","2.38"
"Drug withdrawal","2","1.59"
"Respiratory","2","1.59"
"Mania/psychosis","1","0.79"
