"chosen","count","percent_responded"
"Dry mouth",386,68.32
"Increased energy",200,35.4
"Changes in appetite",199,35.22
"More or less talkative",191,33.81
"Sleepiness/fatigue",140,24.78
"Changes in libido",73,12.92
"Feeling of being ""altered""",62,10.97
"Memory problems",61,10.8
"Other (please specify)",56,9.91
"Difficulty concentrating",45,7.96
"Paranoia",44,7.79
"Heart racing/palpitations",39,6.9
"Tough to get started in the morning (lassitude) or ""couch lock""",35,6.19
"Increased respiratory symptoms (coughing, wheezing, sneezing)",32,5.66
"Racing thoughts",31,5.49
"Dizziness",20,3.54
"Anxiety",19,3.36
"Apathy",17,3.01
"Sweating",17,3.01
"Nausea",15,2.65
"Headache",10,1.77
"GI changes (constipation, diarrhea, abdominal discomfort)",9,1.59
"Depression",6,1.06
