"chosen","count","percent_responded"
"Lower back",168,77.42
"Knee",120,55.3
"General joint pain",108,49.77
"Neck",107,49.31
"Shoulder",100,46.08
"Hips",98,45.16
"Leg",96,44.24
"Upper back",80,36.87
"Foot",75,34.56
"Hand",73,33.64
"Generalized muscle pain",68,31.34
"Head/headache",67,30.88
"Wrist",62,28.57
"Arm",57,26.27
"Buttocks",38,17.51
"Full body",35,16.13
"Abdomen",34,15.67
"Mouth/dental pain",26,11.98
"Stomach",24,11.06
"Chest",20,9.22
"Other (please specify)",16,7.37
"Face",10,4.61
"Genitalia",6,2.76
"Rectum",6,2.76
