"q79","Were you exposed to any of the following during your service? (Please select all that apply)","n =  173"
"response","count","percent_responded"
"I was not exposed to any of these","58","33.53"
"Burn Pits","53","30.64"
"Asbestos","38","21.97"
"Specific Environmental Hazards","33","19.08"
"Agent Orange","20","11.56"
"Radiation Exposure","18","10.4"
"Other (please specify)","13","7.51"
"contaminated drinking water at camp Lejelune","11","6.36"
"Gulf war illness","11","6.36"
"Contact with mustard gas or lewisite","2","1.16"
"Gulf war illness in Afghanistan","2","1.16"
"Children having birth defects like Spina Bifida","1","0.58"
