"q47","How do you prefer to use cannabis? (Please select all that apply)","n =  78"
"response","count","percent_responded"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc.)","47","60.26"
"Smoke flower","46","58.97"
"Tinctures","41","52.56"
"Concentrates (e.g. rosin, shatter, wax, hash, kief)","28","35.9"
"Salves/topicals","27","34.62"
"Vape cartridges","24","30.77"
"Vape flower","23","29.49"
"Capsules","14","17.95"
"Transdermal patches","11","14.1"
"Suppositories","4","5.13"
"Other (please specify)","3","3.85"
