"q12","How do you prefer to use cannabis? 
Please check all that apply.","n =  187"
"response","count","percent_responded"
"Smoke flower","149","79.68"
"Edibles (e.g. gummies, chocolate, lozenges, beverages, cooking oils, etc)","129","68.98"
"Vape cartridges","80","42.78"
"Concentrates (e.g. rosin, shatter, wax, hash, kief, etc)","66","35.29"
"Vape flower","59","31.55"
"Salves/topicals","53","28.34"
"Tinctures","53","28.34"
"Capsules","25","13.37"
"Transdermal patches","16","8.56"
"Suppositories","6","3.21"
"Other (please specify)","4","2.14"
