"q20","What types of prescription medications are you currently taking for the health conditions and symptoms you face? (Please select all that apply)","n =  146"
"response","count","percent_responded"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","67","45.89"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","58","39.73"
"Anti-inflammatories","45","30.82"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","38","26.03"
"Muscle relaxants","35","23.97"
"Other (please specify)","32","21.92"
"Statins (e.g. Lipitor, Crestor)","30","20.55"
"I don’t take any prescription medications","28","19.18"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","22","15.07"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","19","13.01"
"Antihypertensives","16","10.96"
"Antimigraine","11","7.53"
"Beta Blockers","11","7.53"
"Sedatives/hypnotics","11","7.53"
"Steroids, including steroid creams","11","7.53"
"Proton pump inhibitors","8","5.48"
"Antipsychotics (e.g. Abilify, Seroquel)","7","4.79"
"Hormone replacement therapy (HRT)","6","4.11"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","5","3.42"
"Insulin","4","2.74"
"Barbiturates (e.g. Floricet)","3","2.05"
"Antiemetics","2","1.37"
