"q46","Please rate the severity of the side effects you have faced with prescription medications compared to cannabis treatments:","n =  56  avg =  22.339"
"response","count","percent_responded"
"0","11","19.64"
"13","4","7.14"
"26","4","7.14"
"51","4","7.14"
"50","3","5.36"
"1","2","3.57"
"17","2","3.57"
"19","2","3.57"
"21","2","3.57"
"25","2","3.57"
"33","2","3.57"
"39","2","3.57"
"10","1","1.79"
"16","1","1.79"
"18","1","1.79"
"2","1","1.79"
"22","1","1.79"
"24","1","1.79"
"27","1","1.79"
"3","1","1.79"
"30","1","1.79"
"4","1","1.79"
"42","1","1.79"
"47","1","1.79"
"48","1","1.79"
"54","1","1.79"
"7","1","1.79"
"77","1","1.79"
