q10,Are you actively trying to reduce your prescription medication intake using cannabis? Please select all that apply.,n =  1292
response,count,percent_responded
Not actively trying to reduce medication Intake,535,41.41
Antidepressants,279,21.59
NSAID/non-opioid analgesics,242,18.73
Narcotics/opioids,224,17.34
Muscle relaxants,200,15.48
Other (please specify),184,14.24
Anxiolytics/Benzodiazepines,170,13.16
Other (please specify below),152,11.76
Sedatives/hypnotics,101,7.82
Antimigraine,74,5.73
Antipsychotics,41,3.17
Anti-convulsants,30,2.32
Proton pump inhibitors,29,2.24
