"q20","What types of prescription medications are you currently taking for the health conditions and symptoms you face? (Please select all that apply)","n =  16"
"response","count","percent_responded"
"Over the counter (OTC) medications (e.g. Ibuprofen, Acetaminophen, sleep aids, allergy medications, Tylenol)","8","50"
"Antidepressants (eg. Lexapro, Prozac, Wellbutrin, Effexor, Nortriptyline)","6","37.5"
"Anti-inflammatories","4","25"
"Narcotics/opioids (e.g. Percocet, Vicodin, Codeine)","4","25"
"I don’t take any prescription medications","3","18.75"
"Statins (e.g. Lipitor, Crestor)","3","18.75"
"Antihypertensives","2","12.5"
"Mood Stabilizers/Anticonvulsants (e.g. Lamictal, Gapapentin, Keppra, Topzmax)","2","12.5"
"Muscle relaxants","2","12.5"
"Steroids, including steroid creams","2","12.5"
"Antipsychotics (e.g. Abilify, Seroquel)","1","6.25"
"Benzodiazepines (e.g valium, Xanax, Klonopin, Ativan)","1","6.25"
"Insulin","1","6.25"
"Other (please specify)","1","6.25"
"Proton pump inhibitors","1","6.25"
"Sedatives/hypnotics","1","6.25"
"Stimulants (e.g. Adderall, Vyvanse, Concerta, Ritalin)","1","6.25"
