"q40","What symptoms do you find medical cannabis is most helpful in treating/alleviating? (Please select all that apply)","n =  217"
"response","count","percent_responded"
"Pain","187","86.18"
"Sleep/insomnia","107","49.31"
"Depression/mood","93","42.86"
"Anxiety/panic attacks","74","34.1"
"Inflammation","70","32.26"
"Spasms","60","27.65"
"Headache","53","24.42"
"Attention/concentration","46","21.2"
"Aggression","45","20.74"
"Appetite/weight","25","11.52"
"Nausea/vomiting","24","11.06"
"Other (please specify)","14","6.45"
"Skin conditions","11","5.07"
"Ocular pressure","9","4.15"
"Mania/psychosis","5","2.3"
"Drug withdrawal","4","1.84"
"Respiratory","3","1.38"
"Seizures","2","0.92"
