"q67","Which VA do you go to?","n =  212"
"response","count","percent_responded"
"None","12","5.66"
"none","9","4.25"
"N/A","7","3.3"
"Togus","4","1.89"
"Worcester","4","1.89"
"Boston","3","1.42"
"Brockton","3","1.42"
"Brockton MA","3","1.42"
"n/a","3","1.42"
"Providence","3","1.42"
"Providence ","3","1.42"
"Bedford, MA","2","0.94"
"Manchester, NH","2","0.94"
"na","2","0.94"
"nj","2","0.94"
"Northampton ","2","0.94"
"Portland","2","0.94"
"West Roxbury","2","0.94"
"A","1","0.47"
"Alaska","1","0.47"
"American Lake","1","0.47"
"Baltimore ","1","0.47"
"Bedford","1","0.47"
"Bedford ","1","0.47"
"Bedford VA Hospital ","1","0.47"
"Bedford va medical ","1","0.47"
"boston","1","0.47"
"Boston - JP","1","0.47"
"Boston & Worcester","1","0.47"
"Boston (JP/West Roxbury)","1","0.47"
"boston ma","1","0.47"
"Brewer","1","0.47"
"Brooksville","1","0.47"
"Castle Point, VAHVHCS","1","0.47"
"CBOC Yuma AZ","1","0.47"
"Charlie Norwood va","1","0.47"
"Cincinnati VA","1","0.47"
"Clairmont Rd, decatur","1","0.47"
"Clarksville ,Tn","1","0.47"
"Cleveland","1","0.47"
"columbia,sc","1","0.47"
"Conroe TX","1","0.47"
"Davenport, IA ","1","0.47"
"Dayton VAMC","1","0.47"
"DC VAMC","1","0.47"
"Detroit","1","0.47"
"Do not go to va","1","0.47"
"Do not go to VA","1","0.47"
"don't","1","0.47"
"Don't go to VA","1","0.47"
"Don’t use va","1","0.47"
"Durham and Raleigh NC","1","0.47"
"Eglin","1","0.47"
"Evansville ","1","0.47"
"Fayetteville AR","1","0.47"
"Fitchburg","1","0.47"
"Fitchburg ","1","0.47"
"Fitchburg Outpatient Clinic","1","0.47"
"Fredericksburg ","1","0.47"
"Fresno, CA","1","0.47"
"Fresno.. which I will never return to adter they broke my rt collar bone 2 years ago and have covered it up since","1","0.47"
"Ft Worth,  tx","1","0.47"
"Hampton, Virginia","1","0.47"
"Heavy","1","0.47"
"Hershell Woody. Huntington, va","1","0.47"
"Hilo, Hawai’i ","1","0.47"
"Huntington WV ","1","0.47"
"Huntsville AL","1","0.47"
"Hyannis","1","0.47"
"I'm currently in using a VA","1","0.47"
"I avoid the VA. ","1","0.47"
"I do not use the va","1","0.47"
"i don't","1","0.47"
"I don't","1","0.47"
"I don't use the VA","1","0.47"
"I don't. ","1","0.47"
"I don’t ","1","0.47"
"I dont","1","0.47"
"I go to Civilian healthcare","1","0.47"
"I still have to check in to the Las Cruces VA, I just moved here a year ago.","1","0.47"
"Indianapolis ","1","0.47"
"Jamaica Plain","1","0.47"
"Jamaica Plain and West Roxbury","1","0.47"
"James A Haley","1","0.47"
"Jefferson barracks ","1","0.47"
"Juneau He does not approve","1","0.47"
"La Jolla VAMC","1","0.47"
"Leavenworth KS","1","0.47"
"Leed's Northampton MA","1","0.47"
"LEEDS MA","1","0.47"
"Leeds Massachusetts ","1","0.47"
"Leeds, MA","1","0.47"
"Loma linda","1","0.47"
"Lynn VA clinic","1","0.47"
"Manchester NH","1","0.47"
"Manhattan ","1","0.47"
"Martinez, CA","1","0.47"
"Minneapolis","1","0.47"
"Mountain Home TN","1","0.47"
"Mt. Vernon, WA","1","0.47"
"N/a","1","0.47"
"Nashville ","1","0.47"
"Newington ct.","1","0.47"
"No","1","0.47"
"Nope","1","0.47"
"North Hampton MA","1","0.47"
"Northampton","1","0.47"
"Northampton/Leeds   ","1","0.47"
"Northampton/Leeds, MA","1","0.47"
"Northhampton, Ma","1","0.47"
"Not sure but it’s in Washington state","1","0.47"
"OKC ","1","0.47"
"Oklahoma","1","0.47"
"Overton Brooks VA Medical Center ","1","0.47"
"Panama City Beach ","1","0.47"
"Pittsburgh","1","0.47"
"Plymouth, MA Clinic ","1","0.47"
"Portland ","1","0.47"
"prefer not to answer","1","0.47"
"Private","1","0.47"
"providence","1","0.47"
"Providence RI","1","0.47"
"PROVIDENCE RI","1","0.47"
"Providence, RI","1","0.47"
"RI","1","0.47"
"Richmond ","1","0.47"
"Richmond VA","1","0.47"
"Rocky Mountain VAMC","1","0.47"
"Rodabusch Indianapolis Indiana ","1","0.47"
"Salt Lake City","1","0.47"
"San Diego","1","0.47"
"San Francisco","1","0.47"
"SAVAHCS","1","0.47"
"Savannah ","1","0.47"
"Southern Nevada","1","0.47"
"Spokane WA","1","0.47"
"Springfield Ma","1","0.47"
"Springfield MA","1","0.47"
"Stratton","1","0.47"
"Tampa, FL","1","0.47"
"Texas","1","0.47"
"VA Central Western MA","1","0.47"
"VA Jamaica Plain","1","0.47"
"VA Leeds/ Vet Center West Springfield, MA","1","0.47"
"VA Medical Center Boston Jamaica Plain","1","0.47"
"VA Nashville ","1","0.47"
"VAMC OKC","1","0.47"
"West Haven, CT","1","0.47"
"West Palm Beach FL","1","0.47"
"West Roxbury ","1","0.47"
"West Roxbury , Boston, Mass","1","0.47"
"West Roxbury VA ","1","0.47"
"West Roxbury, ma","1","0.47"
"Western MA, Leeds and Springfield","1","0.47"
"worcester","1","0.47"
"Worcester ","1","0.47"
"Worcester CBOC","1","0.47"
"Worcester MA","1","0.47"
"Worcester Ma.","1","0.47"
"Worcester, Boston","1","0.47"
"Worcester, MA","1","0.47"
"Yuba City, CA Clinic","1","0.47"
