"q91","What is the highest degree or level of school you have completed? (If you're currently enrolled in school, please indicate the highest degree you have received.)","n =  419"
"response","count","percent_responded"
"Some college, no degree","144","34.37"
"Bachelor's degree","80","19.09"
"Associate's degree","74","17.66"
"High school degree or equivalent (GED)","47","11.22"
"Master's degree","39","9.31"
"Vocational degree","20","4.77"
"Professional degree (MD, JD, DDS, DVM)","7","1.67"
"Doctorate (Ph.D, Ed.D, etc)","5","1.19"
"Less than high school diploma","3","0.72"
