"q39","What is the primary health condition for which you find cannabis to be helpful? (Please select one)","n =  56"
"response","count","percent_responded"
"Chronic pain","26","46.43"
"Posttraumatic stress disorder (PTSD)","14","25"
"Arthritis","4","7.14"
"Diabetes","3","5.36"
"Anxiety","2","3.57"
"Attention deficit/hyperactivity disorder (ADHD)","1","1.79"
"Bipolar/manic depression","1","1.79"
"Depression","1","1.79"
"Fibromyalgia/myositis","1","1.79"
"Gastrointestinal/digestive system disorders","1","1.79"
"Insomnia","1","1.79"
"Substance abuse/addiction","1","1.79"
