"q39","What is the primary health condition for which you find cannabis to be helpful? (Please select one)","n =  79"
"response","count","percent_responded"
"Chronic pain","25","31.65"
"Posttraumatic stress disorder (PTSD)","17","21.52"
"Anxiety","13","16.46"
"Depression","8","10.13"
"Insomnia","6","7.59"
"Bipolar/manic depression","3","3.8"
"Arthritis","2","2.53"
"Substance abuse/addiction","2","2.53"
"Gastrointestinal/digestive system disorders","1","1.27"
"HIV/AIDS","1","1.27"
"Multiple sclerosis","1","1.27"
