"q46","What information would you like to know related to cannabis to help you make a decision about what cannabis products to use? Please select all that apply.","n =  170"
"response","count","percent_responded"
"Different effects of different cannabinoids","126","74.12"
"Medical value of cannabis","101","59.41"
"Cultivation and extraction","84","49.41"
"Cannabis genetics","76","44.71"
"Cannabis and pharmaceutical drug interactions","71","41.76"
"Side effects of cannabis","52","30.59"
"Other (please specify)","16","9.41"
"Other (please list below)","12","7.06"
