"q10","Are you actively trying to reduce your prescription medication intake using cannabis? Please select all that apply.","n =  834"
"response","count","percent_responded"
"Not actively trying to reduce medication Intake","327","39.21"
"Antidepressants","235","28.18"
"Anxiolytics/Benzodiazepines","151","18.11"
"NSAID/non-opioid analgesics","151","18.11"
"Narcotics/opioids","142","17.03"
"Muscle relaxants","135","16.19"
"Other (please specify)","111","13.31"
"Other (please specify below)","89","10.67"
"Sedatives/hypnotics","76","9.11"
"Antimigraine","50","6"
"Antipsychotics","36","4.32"
"Anti-convulsants","19","2.28"
"Proton pump inhibitors","18","2.16"
