"q48","What is the highest degree or level of school you have 
completed? If you are currently enrolled in school, please 
indicate the highest degree you have recieved.","n =  187"
"response","count","percent_responded"
"Bachelors degree","70","37.43"
"Some college, no degree","41","21.93"
"Masters degree","26","13.9"
"Associate degree","20","10.7"
"High school degree or equivalent (GED)","19","10.16"
"Professional degree (MD, JD, DDS, DVM)","5","2.67"
"Doctorate (Ph.D., EdD, etc)","4","2.14"
"Prefer not to answer","2","1.07"
