"q39","What is the primary health condition for which you find cannabis to be helpful? (Please select one)","n =  98"
"response","count","percent_responded"
"Chronic pain","60","61.22"
"Posttraumatic stress disorder (PTSD)","12","12.24"
"Anxiety","6","6.12"
"Depression","6","6.12"
"Cancer","4","4.08"
"Arthritis","2","2.04"
"Insomnia","2","2.04"
"Bipolar/manic depression","1","1.02"
"Fibromyalgia/myositis","1","1.02"
"HIV/AIDS","1","1.02"
"Hypertension","1","1.02"
"Multiple sclerosis","1","1.02"
"Substance abuse/addiction","1","1.02"
