"q34","After the start of COVID-19, what percent of your monthly cannabis purchases 
are through regulated sources (dispensaries, caregivers, etc.)?","n =  187  avg =  70.091"
"response","count","percent_responded"
"100","97","51.87"
"0","29","15.51"
"50","8","4.28"
"75","6","3.21"
"25","4","2.14"
"30","4","2.14"
"90","3","1.6"
"98","3","1.6"
"1","2","1.07"
"3","2","1.07"
"68","2","1.07"
"70","2","1.07"
"74","2","1.07"
"95","2","1.07"
"99","2","1.07"
"10","1","0.53"
"15","1","0.53"
"20","1","0.53"
"21","1","0.53"
"29","1","0.53"
"33","1","0.53"
"40","1","0.53"
"46","1","0.53"
"5","1","0.53"
"55","1","0.53"
"57","1","0.53"
"60","1","0.53"
"65","1","0.53"
"73","1","0.53"
"76","1","0.53"
"79","1","0.53"
"80","1","0.53"
"92","1","0.53"
"97","1","0.53"
