"q6","Which is the primary health condition that causes you the most distress? (Please select one)","n =  565"
"response","count","percent_responded"
"Chronic pain","217","38.41"
"Posttraumatic stress disorder (PTSD)","144","25.49"
"Anxiety","51","9.03"
"Depression","34","6.02"
"Insomnia","19","3.36"
"Cancer","17","3.01"
"Arthritis","15","2.65"
"Bipolar/manic depression","11","1.95"
"Cardiovascular disease","8","1.42"
"Diabetes","7","1.24"
"Gastrointestinal/digestive system disorders","7","1.24"
"Fibromyalgia/myositis","6","1.06"
"Respiratory problems","6","1.06"
"Hypertension","4","0.71"
"Multiple sclerosis","4","0.71"
"Obesity","4","0.71"
"Substance abuse/addiction","3","0.53"
"Attention deficit/hyperactivity disorder (ADHD)","2","0.35"
"Inflammatory bowel disease (IBD)","2","0.35"
"Reflux esophagitis","2","0.35"
"Allergies","1","0.18"
"HIV/AIDS","1","0.18"
