"q7","Which of the following symptoms are most commonly associated with your primary health condition or underlying health conditions? (Please select all that apply)","n =  16"
"response","count","percent_responded"
"Depression/mood","12","75"
"Pain","11","68.75"
"Sleep/insomnia","11","68.75"
"Anxiety/panic attacks","8","50"
"Inflammation","8","50"
"Aggression","5","31.25"
"Attention/concentration","5","31.25"
"Spasms","3","18.75"
"Appetite/weight","2","12.5"
"Drug withdrawal","2","12.5"
"Headache","2","12.5"
"Respiratory","2","12.5"
"Skin conditions","2","12.5"
"Mania/psychosis","1","6.25"
"Nausea/vomiting","1","6.25"
