"q91","What is the highest degree or level of school you have completed? (If you're currently enrolled in school, please indicate the highest degree you have received.)","n =  79"
"response","count","percent_responded"
"Some college, no degree","24","30.38"
"Associate's degree","14","17.72"
"Bachelor's degree","14","17.72"
"High school degree or equivalent (GED)","12","15.19"
"Master's degree","7","8.86"
"Vocational degree","5","6.33"
"Professional degree (MD, JD, DDS, DVM)","2","2.53"
"Doctorate (Ph.D, Ed.D, etc)","1","1.27"
