"q29","What percentage of disability are you rated, as indicated by the Veteran's Affairs (VA)?","n =  265  avg =  53.22"
"response","count","percent_responded"
"100","82","30.94"
"0","66","24.91"
"10","18","6.79"
"60","15","5.66"
"80","13","4.91"
"90","12","4.53"
"50","9","3.4"
"70","9","3.4"
"40","7","2.64"
"1","5","1.89"
"20","4","1.51"
"22","2","0.75"
"3","2","0.75"
"30","2","0.75"
"6","2","0.75"
"75","2","0.75"
"93","2","0.75"
"98","2","0.75"
"99","2","0.75"
"14","1","0.38"
"18","1","0.38"
"47","1","0.38"
"5","1","0.38"
"51","1","0.38"
"81","1","0.38"
"87","1","0.38"
"9","1","0.38"
"94","1","0.38"
