"""What percent of your monthly purchases are through regulated sources (dispensary, retail establishment, caregiver/authorized private cultivator)?""",,
,,
response,count,percent_all
100,104,51.74%
99,7,3.48%
98,5,2.49%
97,2,1.00%
96,1,0.50%
95,1,0.50%
91,1,0.50%
90,3,1.49%
89,2,1.00%
86,1,0.50%
85,2,1.00%
80,1,0.50%
75,6,2.99%
70,1,0.50%
67,1,0.50%
65,1,0.50%
52,2,1.00%
51,2,1.00%
50,9,4.48%
48,1,0.50%
37,1,0.50%
33,1,0.50%
27,1,0.50%
25,1,0.50%
23,1,0.50%
19,1,0.50%
15,4,1.99%
12,1,0.50%
10,6,2.99%
9,1,0.50%
8,1,0.50%
6,2,1.00%
5,1,0.50%
4,2,1.00%
3,1,0.50%
2,2,1.00%
1,4,1.99%
0,17,8.46%
