"q7","Which of the following symptoms are most commonly associated with your primary health condition or underlying health conditions? (Please select all that apply)","n =  333"
"response","count","percent_responded"
"Depression/mood","239","71.77"
"Sleep/insomnia","225","67.57"
"Pain","212","63.66"
"Anxiety/panic attacks","186","55.86"
"Attention/concentration","128","38.44"
"Appetite/weight","114","34.23"
"Headache","114","34.23"
"Aggression","109","32.73"
"Inflammation","98","29.43"
"Spasms","86","25.83"
"Nausea/vomiting","48","14.41"
"Skin conditions","38","11.41"
"Respiratory","32","9.61"
"Ocular pressure","25","7.51"
"Other (please specify)","20","6.01"
"Mania/psychosis","17","5.11"
"Seizures","7","2.1"
"Drug withdrawal","4","1.2"
