"q91","What is the highest degree or level of school you have completed? (If you're currently enrolled in school, please indicate the highest degree you have received.)","n =  146"
"response","count","percent_responded"
"Some college, no degree","44","30.14"
"Bachelor's degree","31","21.23"
"High school degree or equivalent (GED)","25","17.12"
"Associate's degree","19","13.01"
"Master's degree","15","10.27"
"Vocational degree","10","6.85"
"Doctorate (Ph.D, Ed.D, etc)","1","0.68"
"Professional degree (MD, JD, DDS, DVM)","1","0.68"
