"q10","Are you actively trying to reduce your prescription medication intake using cannabis? Please select all that apply.","n =  224"
"response","count","percent_responded"
"Narcotics/opioids","224","100"
"Muscle relaxants","96","42.86"
"Antidepressants","82","36.61"
"NSAID/non-opioid analgesics","74","33.04"
"Anxiolytics/Benzodiazepines","60","26.79"
"Sedatives/hypnotics","40","17.86"
"Other (please specify)","29","12.95"
"Antimigraine","23","10.27"
"Anti-convulsants","16","7.14"
"Antipsychotics","14","6.25"
"Proton pump inhibitors","14","6.25"
"Other (please specify below)","13","5.8"
"Not actively trying to reduce medication Intake","3","1.34"
