"q91","What is the highest degree or level of school you have completed? (If you're currently enrolled in school, please indicate the highest degree you have received.)","n =  144"
"response","count","percent_responded"
"Some college, no degree","51","35.42"
"Bachelor's degree","24","16.67"
"Associate's degree","23","15.97"
"High school degree or equivalent (GED)","20","13.89"
"Master's degree","15","10.42"
"Vocational degree","8","5.56"
"Professional degree (MD, JD, DDS, DVM)","2","1.39"
"Less than high school diploma","1","0.69"
