"q7","Which of the following symptoms are most commonly associated with your primary health condition or underlying health conditions? (Please select all that apply)","n =  32"
"response","count","percent_responded"
"Depression/mood","18","56.25"
"Pain","18","56.25"
"Anxiety/panic attacks","16","50"
"Sleep/insomnia","16","50"
"Attention/concentration","9","28.12"
"Headache","9","28.12"
"Appetite/weight","8","25"
"Inflammation","7","21.88"
"Spasms","7","21.88"
"Aggression","4","12.5"
"Nausea/vomiting","4","12.5"
"Other (please specify)","2","6.25"
"Skin conditions","2","6.25"
"Drug withdrawal","1","3.12"
"Ocular pressure","1","3.12"
"Respiratory","1","3.12"
