"q14","What are the effects of your pain? (Please select all that apply)","n =  14"
"response","count","percent_responded"
"Enjoyment of life","14","100"
"Energy level","12","85.71"
"Physical activity","11","78.57"
"Sleep","11","78.57"
"Relationships with others","9","64.29"
"Household chores","8","57.14"
"Mobility","8","57.14"
"Mood","8","57.14"
"Depression","7","50"
"Anxiety","6","42.86"
"Concentration","6","42.86"
"Self esteem","6","42.86"
"Sexual functioning","6","42.86"
"Memory","5","35.71"
"Personal care","5","35.71"
"Appetite","4","28.57"
