"q33","On average, how much do you pay (in US dollars) for your medications on a monthly basis out of pocket?","n =  419  avg =  98.95"
"response","count","percent_responded"
"0","188","44.87"
"20","23","5.49"
"30","23","5.49"
"10","17","4.06"
"50","16","3.82"
"150","14","3.34"
"400","12","2.86"
"100","11","2.63"
"200","10","2.39"
"40","9","2.15"
"500","9","2.15"
"25","8","1.91"
"300","7","1.67"
"60","5","1.19"
"1000","4","0.95"
"250","4","0.95"
"350","4","0.95"
"8","4","0.95"
"1","3","0.72"
"45","3","0.72"
"5","3","0.72"
"600","3","0.72"
"700","3","0.72"
"75","3","0.72"
"80","3","0.72"
"15","2","0.48"
"1500","2","0.48"
"16","2","0.48"
"55","2","0.48"
"9","2","0.48"
"90","2","0.48"
"1200","1","0.24"
"125","1","0.24"
"140","1","0.24"
"1400","1","0.24"
"160","1","0.24"
"180","1","0.24"
"2000","1","0.24"
"24","1","0.24"
"28","1","0.24"
"3","1","0.24"
"35","1","0.24"
"4","1","0.24"
"44","1","0.24"
"440","1","0.24"
"7","1","0.24"
"70","1","0.24"
"800","1","0.24"
"900","1","0.24"
