"q44","Have you experienced any side effects from using cannabis? (Please select all that apply)","n =  232"
"response","count","percent_responded"
"Dry mouth","150","64.66"
"More or less talkative","84","36.21"
"Increased energy","80","34.48"
"Changes in appetite","77","33.19"
"Sleepiness/fatigue","54","23.28"
"Changes in libido","28","12.07"
"Feeling of being ""altered""","27","11.64"
"Memory problems","25","10.78"
"Other (please specify)","22","9.48"
"Racing thoughts","16","6.9"
"Difficulty concentrating","15","6.47"
"Paranoia","15","6.47"
"Dizziness","13","5.6"
"Heart racing/palpitations","13","5.6"
"Tough to get started in the morning (lassitude) or ""couch lock""","12","5.17"
"Increased respiratory symptoms (coughing, wheezing, sneezing)","11","4.74"
"Apathy","9","3.88"
"Sweating","9","3.88"
"Nausea","7","3.02"
"Headache","5","2.16"
"GI changes (constipation, diarrhea, abdominal discomfort)","4","1.72"
"Anxiety","3","1.29"
"Depression","2","0.86"
