"q6","Which is the primary health condition that causes you the most distress? (Please select one)","n =  78"
"response","count","percent_responded"
"Chronic pain","31","39.74"
"Posttraumatic stress disorder (PTSD)","15","19.23"
"Arthritis","6","7.69"
"Anxiety","5","6.41"
"Cancer","4","5.13"
"Depression","3","3.85"
"Respiratory problems","3","3.85"
"Diabetes","2","2.56"
"Gastrointestinal/digestive system disorders","2","2.56"
"Obesity","2","2.56"
"Bipolar/manic depression","1","1.28"
"Fibromyalgia/myositis","1","1.28"
"Hypertension","1","1.28"
"Insomnia","1","1.28"
"Multiple sclerosis","1","1.28"
